"Date","Open*","High","Low","Close**","Volume","Market Cap"
"03-06-2018",14.81,15.29,14.29,14.62,1631840000,13269059584
"02-06-2018",12.29,15.61,12.2,14.74,2884720128,10990515200
"01-06-2018",12.29,12.4,11.99,12.31,1058150016,10956698624
"31-05-2018",11.97,12.72,11.95,12.28,1142809984,10653267968
"30-05-2018",12.18,12.58,11.81,12.01,1269209984,10813252608
"29-05-2018",11.7,12.49,10.93,12.18,1877299968,10363043840
"28-05-2018",12.5,12.98,11.59,11.64,1580160000,11043794944
"27-05-2018",12.29,12.59,12.15,12.51,939929024,10835191808
"26-05-2018",12.27,12.83,12.0,12.35,1085629952,10791675904
"25-05-2018",12.81,12.88,11.8,12.29,1624390016,11235322880
"24-05-2018",10.92,12.96,10.53,12.75,2161890048,9557940224
"23-05-2018",12.33,12.46,10.76,10.88,1591750016,10763413504
"22-05-2018",13.52,13.53,12.25,12.27,991158976,11773025280
"21-05-2018",14.03,14.17,13.26,13.51,1063000000,12187271168
"20-05-2018",13.17,14.19,13.05,14.01,1228359936,11420258304
"19-05-2018",13.04,13.35,12.66,13.17,1018750016,11276930048
"18-05-2018",12.37,13.18,12.08,13.0,1343680000,10676366336
"17-05-2018",12.87,13.94,12.21,12.43,1644329984,11075887104
"16-05-2018",12.93,13.17,12.06,12.77,1534140032,11104685056
"15-05-2018",14.05,14.44,12.65,12.99,1371869952,12031253504
"14-05-2018",14.93,15.02,13.39,14.02,1702960000,12757275648
"13-05-2018",14.23,15.26,13.8,14.94,1589949952,12121968640
"12-05-2018",14.98,15.24,12.59,14.25,3091069952,12733082624
"11-05-2018",17.46,17.78,14.56,14.9,2919820032,14807289856
"10-05-2018",17.97,18.73,17.52,17.54,1287810048,15199423488
"09-05-2018",18.12,18.14,17.28,17.94,1199539968,15271884800
"08-05-2018",17.98,18.88,17.9,18.14,1449939968,15122586624
"07-05-2018",17.67,18.4,16.88,17.98,2000850048,14823508992
"06-05-2018",17.74,17.9,16.86,17.47,1434829952,14847180800
"05-05-2018",17.14,18.57,17.14,17.8,1614729984,14310404096
"04-05-2018",17.71,18.06,16.47,17.15,1749309952,14751162368
"03-05-2018",19.27,19.27,17.18,17.77,2266540032,16009756672
"02-05-2018",18.93,19.51,18.42,19.21,2410370048,15694998528
"01-05-2018",17.67,19.08,16.31,18.95,3330129920,14610737152
"30-04-2018",21.64,21.64,16.86,17.58,4073370112,17849051136
"29-04-2018",18.88,22.89,18.88,21.54,4870720000,15530878976
"28-04-2018",16.69,19.51,16.69,18.87,2728300032,13698926592
"27-04-2018",15.47,17.95,14.99,16.67,2486409984,12669789184
"26-04-2018",14.43,15.49,14.0,15.49,1566850048,11789935616
"25-04-2018",15.1,15.54,13.6,14.46,3005040128,12303890432
"24-04-2018",11.73,16.0,11.73,15.31,3223780096,9530671104
"23-04-2018",11.33,11.79,11.32,11.61,662115968,9186096128
"22-04-2018",11.07,11.83,10.81,11.35,1001900032,8955947008
"21-04-2018",11.58,11.65,10.31,11.11,1142259968,9340279808
"20-04-2018",9.51,11.57,9.51,11.45,1512339968,7652013056
"19-04-2018",9.02,9.44,8.96,9.44,554115968,7233092608
"18-04-2018",8.49,9.15,8.49,9.03,518188992,6792736256
"17-04-2018",8.13,8.99,8.09,8.51,798768000,6492149248
"16-04-2018",8.39,8.39,7.84,8.1,455204000,6667985920
"15-04-2018",8.63,8.63,7.72,8.4,861262976,6845829632
"14-04-2018",8.75,8.93,8.08,8.6,811486976,6916385280
"13-04-2018",8.71,9.27,8.53,8.74,936742976,6866657280
"12-04-2018",8.5,9.05,8.0,8.7,1717360000,6683279872
"11-04-2018",6.0,8.82,5.99,8.49,1818530048,4706766848
"10-04-2018",5.88,6.07,5.8,6.0,225494000,4600684544
"09-04-2018",5.98,6.07,5.8,5.87,226564992,4666275840
"08-04-2018",5.9,6.01,5.85,5.97,166915008,4587799552
"07-04-2018",5.88,6.04,5.85,5.91,220028000,4561696768
"06-04-2018",6.36,6.41,5.76,5.89,451440992,4918338048
"05-04-2018",5.72,6.46,5.5,6.4,542464000,4419564032
"04-04-2018",6.11,6.14,5.61,5.73,260820000,4702424576
"03-04-2018",5.9,6.19,5.82,6.13,306368992,4529743872
"02-04-2018",5.68,5.96,5.56,5.89,314995008,4348742144
"01-04-2018",6.0,6.04,5.25,5.66,401303008,4580828160
"31-03-2018",6.11,6.22,5.96,5.99,224212992,4650945024
"30-03-2018",6.03,6.2,5.86,6.1,506609984,4576615936
"29-03-2018",6.31,6.37,5.92,6.02,626902976,4776997376
"28-03-2018",5.88,6.55,5.82,6.29,616041984,4442050560
"27-03-2018",5.9,6.44,5.28,5.91,877542976,4447057920
"26-03-2018",6.53,6.57,5.42,5.9,553672000,4906945024
"25-03-2018",6.6,6.76,6.49,6.52,274460000,4947109376
"24-03-2018",6.99,7.12,6.63,6.63,357179008,5218489856
"23-03-2018",7.02,7.14,6.42,7.01,846830016,5227641344
"22-03-2018",7.01,7.34,6.32,7.03,1062430016,5202795520
"21-03-2018",6.07,7.24,5.98,7.03,765790016,4492160512
"20-03-2018",6.17,6.4,5.45,6.01,667072000,4553120256
"19-03-2018",4.71,6.36,4.57,6.36,660668992,3468420352
"18-03-2018",4.65,4.68,3.95,4.65,333500992,3417960704
"17-03-2018",5.09,5.11,4.61,4.67,140080000,3725279744
"16-03-2018",5.18,5.32,4.95,5.09,184719008,3785349888
"15-03-2018",5.35,5.38,4.87,5.17,293299008,3899389696
"14-03-2018",5.87,5.97,5.25,5.34,210732992,4266074880
"13-03-2018",5.82,5.98,5.66,5.86,199199008,4213560064
"12-03-2018",6.15,6.23,5.72,5.83,206551008,4441010176
"11-03-2018",5.79,6.24,5.61,6.14,271828992,4165573632
"10-03-2018",6.17,6.5,5.8,5.8,309652992,4434696704
"09-03-2018",6.2,6.24,5.38,6.13,429200992,4444674048
"08-03-2018",6.51,6.76,6.12,6.2,299364992,4651410944
"07-03-2018",7.25,7.37,6.17,6.51,423460000,5162590208
"06-03-2018",8.0,8.0,7.16,7.25,233026000,5682732544
"05-03-2018",8.18,8.29,8.05,8.05,183715008,5786712576
"04-03-2018",8.0,8.18,7.79,8.18,195810000,5638257664
"03-03-2018",8.11,8.3,7.96,8.0,141850000,5702861824
"02-03-2018",8.68,8.74,8.03,8.09,211631008,6086744576
"01-03-2018",8.39,8.63,8.3,8.63,214126000,5859144192
"28-02-2018",8.53,9.22,8.41,8.41,380052992,5940665344
"27-02-2018",8.17,8.87,8.03,8.57,330184992,5670736896
"26-02-2018",7.9,8.44,7.63,8.13,251184992,5472734720
"25-02-2018",8.18,8.19,7.7,7.9,173548992,5646678016
"24-02-2018",8.57,8.72,7.95,8.19,241756992,5900518400
"23-02-2018",8.05,8.77,7.92,8.58,284364992,5523263488
"22-02-2018",8.74,8.91,7.98,8.09,295638016,5965234688
"21-02-2018",9.27,9.31,8.53,8.76,298552992,6315773440
"20-02-2018",9.69,10.01,9.26,9.28,305780992,6586159616
"19-02-2018",9.37,9.79,9.36,9.68,225362000,6355844608
"18-02-2018",10.16,10.2,9.23,9.38,353808000,6860990464
"17-02-2018",10.01,10.18,9.93,10.15,276848992,6746402816
"16-02-2018",10.15,10.24,9.7,10.02,249798000,6817048064
"15-02-2018",9.94,10.3,9.77,10.17,392064992,6656238592
"14-02-2018",9.23,10.02,9.17,9.97,480308992,6160923136
"13-02-2018",9.18,9.27,8.7,9.21,365436000,6113091584
"12-02-2018",8.45,9.29,8.45,9.18,353976000,5609459200
"11-02-2018",9.09,9.09,8.17,8.41,408012992,6007741952
"10-02-2018",9.61,10.3,8.66,9.1,609065984,6334330880
"09-02-2018",8.5,9.66,8.16,9.65,507606016,5584730624
"08-02-2018",7.66,8.59,7.66,8.51,542067968,5019675648
"07-02-2018",8.35,8.65,7.56,7.61,762883968,5439427072
"06-02-2018",7.17,8.46,5.85,8.34,1304850048,4659177472
"05-02-2018",8.68,8.85,6.94,7.06,640158976,5618384896
"04-02-2018",9.77,10.17,8.45,8.61,588172032,6306873344
"03-02-2018",9.77,10.39,8.59,9.84,736278016,6290737152
"02-02-2018",10.17,10.22,7.64,9.79,1534140032,6528441344
"01-02-2018",12.24,12.4,9.9,10.21,919859008,7826059776
"31-01-2018",11.46,12.33,10.42,12.2,1008809984,7309743616
"30-01-2018",14.03,14.03,11.3,11.56,980342016,8918291456
"29-01-2018",15.03,15.17,13.8,14.01,565307008,9524431872
"28-01-2018",14.34,15.04,14.34,15.02,646950016,9057848320
"27-01-2018",14.34,14.63,13.97,14.27,653830976,9027388416
"26-01-2018",14.28,14.73,13.22,14.34,1444039936,8958125056
"25-01-2018",13.96,14.93,13.7,14.31,1546860032,8734499840
"24-01-2018",13.01,13.86,12.63,13.83,1050800000,8112746496
"23-01-2018",13.57,13.81,11.87,12.97,1614680064,8432506880
"22-01-2018",13.54,15.18,12.85,13.66,2902200064,8385478144
"21-01-2018",15.66,15.66,12.39,13.44,2887800064,9666483200
"20-01-2018",11.25,15.76,11.25,15.52,2777449984,6920578560
"19-01-2018",10.38,11.77,9.92,11.18,845596032,6365037568
"18-01-2018",10.2,11.27,9.89,10.51,1266300032,6230179328
"17-01-2018",10.2,10.57,7.67,10.19,1625250048,6209046528
"16-01-2018",12.96,13.04,8.6,10.28,1599730048,7857839104
"15-01-2018",13.42,14.83,12.92,12.94,806380992,8110090240
"14-01-2018",16.17,16.17,13.31,13.44,1162419968,9718774784
"13-01-2018",13.92,18.71,13.54,16.23,3379130112,8336866304
"12-01-2018",11.4,15.34,10.78,13.75,2449370112,6804434432
"11-01-2018",11.33,12.42,9.31,11.35,1161849984,6741697024
"10-01-2018",9.33,11.63,8.68,11.34,1211789952,5534141952
"09-01-2018",9.67,9.76,8.99,9.33,546937024,5711469056
"08-01-2018",12.51,12.58,8.44,9.69,697174976,7367782912
"07-01-2018",12.77,13.37,12.09,12.52,781497024,7495317504
"06-01-2018",10.81,12.58,10.46,12.58,688819008,6324243968
"05-01-2018",11.23,11.51,10.4,10.84,618755008,6549905920
"04-01-2018",10.45,11.97,10.29,11.28,1204969984,6076406272
"03-01-2018",9.32,10.23,8.85,10.23,529459008,5394842112
"02-01-2018",8.91,9.78,8.91,9.33,552188992,5144576512
"01-01-2018",8.77,9.11,8.51,8.84,331072992,5041597440
"31-12-2017",8.51,8.97,8.44,8.77,312308000,4876509184
"30-12-2017",9.46,9.5,8.35,8.56,499400000,5402017792
"29-12-2017",9.6,9.87,9.22,9.44,448089984,5459444736
"28-12-2017",10.54,10.57,8.41,9.57,478886016,5978452992
"27-12-2017",9.83,10.81,9.79,10.56,530216000,5551813120
"26-12-2017",9.77,10.1,9.63,9.82,336595008,5497601536
"25-12-2017",8.2,9.81,7.92,9.77,337892992,4597288960
"24-12-2017",8.51,8.56,7.26,8.14,192175008,4753620480
"23-12-2017",7.97,9.48,7.95,8.48,233174000,4437100032
"22-12-2017",10.66,10.67,6.69,7.84,612398016,5898343424
"21-12-2017",11.96,13.18,10.08,10.6,349756000,6591515136
"20-12-2017",12.45,12.6,10.37,11.99,775977024,6840157696
"19-12-2017",9.24,12.9,9.23,12.38,1688240000,5057769984
"18-12-2017",8.22,9.39,7.67,9.21,577649984,4478704640
"17-12-2017",8.6,8.98,8.21,8.22,361464000,4673795072
"16-12-2017",8.14,9.26,8.13,8.61,540462016,4405777920
"15-12-2017",8.41,8.41,6.88,8.13,640457984,4531336704
"14-12-2017",7.24,8.74,7.17,8.4,613600000,3887062528
"13-12-2017",5.32,7.3,5.05,7.3,663820992,2846320128
"12-12-2017",4.38,5.73,4.26,5.3,266450000,2331870720
"11-12-2017",3.77,4.48,3.73,4.36,153155008,2000148352
"10-12-2017",4.07,4.07,3.55,3.77,98890000,2152678144
"09-12-2017",4.28,4.68,3.8,4.06,133142000,2254295296
"08-12-2017",3.99,4.59,3.74,4.29,149508000,2093352448
"07-12-2017",4.52,4.52,3.56,3.99,183666000,2358119936
"06-12-2017",4.27,5.1,4.2,4.55,200252992,2219993600
"05-12-2017",4.06,4.47,3.69,4.24,181418000,2107439744
"04-12-2017",3.61,4.13,3.5,4.03,163900000,1865925504
"03-12-2017",3.94,4.12,3.44,3.61,132280000,2026221440
"02-12-2017",3.24,3.99,3.21,3.92,163479008,1661259520
"01-12-2017",2.83,3.24,2.73,3.24,74402000,1443755520
"30-11-2017",2.76,2.99,2.54,2.85,92059600,1401529600
"29-11-2017",2.79,3.33,2.54,2.71,133125000,1407008768
"28-11-2017",2.86,3.07,2.75,2.75,98904096,1440196224
"27-11-2017",2.46,2.94,2.38,2.86,126962000,1229347840
"26-11-2017",2.05,2.66,1.94,2.46,116846000,1023902912
"25-11-2017",1.88,2.06,1.79,2.05,48591800,934125440
"24-11-2017",1.89,1.91,1.73,1.88,44111800,936708224
"23-11-2017",1.89,1.98,1.85,1.89,42235000,929842240
"22-11-2017",1.91,1.98,1.79,1.89,44297600,937115264
"21-11-2017",2.0,2.11,1.85,1.9,56022900,976585024
"20-11-2017",1.89,2.04,1.83,1.99,55477200,917195584
"19-11-2017",1.92,2.03,1.77,1.88,55081600,928877184
"18-11-2017",1.74,1.98,1.66,1.93,52951400,840206208
"17-11-2017",1.66,1.82,1.6,1.75,50782500,797405120
"16-11-2017",1.67,1.84,1.57,1.65,64675200,800620160
